epoch,train_loss,val_loss,val_direction_acc,val_regime_acc,val_ret1h_mae,val_ret4h_mae
1,0.48251301672921254,0.45025899595227736,0.5309612467245897,0.8362984415942628,0.039068832993507385,0.05167875438928604
2,0.4185488023864689,0.4038119603847635,0.5368914632464488,0.9153220245483381,0.020720576867461205,0.02470780722796917
3,0.39610832573762583,0.3889346903768079,0.5610260653702938,0.9241483933250586,0.015905607491731644,0.024678222835063934
4,0.3758770180727119,0.37360278080249654,0.5646117776858365,0.9504895876430837,0.015641950070858,0.016963204368948936
5,0.36546316720656497,0.3688594493372687,0.5728864984140118,0.9526961798372638,0.025583239272236824,0.013942857272922993
6,0.3595231673610744,0.432343321627584,0.5626810095159288,0.8831885257205903,0.015087934210896492,0.015874333679676056
7,0.357793789523751,0.39438347055994233,0.5686112260377879,0.9172527927182458,0.010110628791153431,0.012488736771047115
8,0.3515164407331552,0.36181774838217373,0.5650255137222452,0.9669011170872983,0.010931522585451603,0.01246985886245966
9,0.34411525370469737,0.3627904016396095,0.5746793545717832,0.9624879326989381,0.013744738884270191,0.014169398695230484
10,0.3404590523065026,0.3572024466662571,0.5728864984140118,0.9696593573300234,0.007732197642326355,0.01257200725376606
11,0.3359384094156436,0.3659947309000739,0.5658529857950627,0.9609709005654392,0.00798503402620554,0.0105438232421875
12,0.33308534457612393,0.364026192961068,0.5564749689697973,0.9731071576334299,0.006277349311858416,0.009469931945204735
13,0.3286292408384494,0.3729908250529191,0.5530271686663908,0.9664873810508895,0.006980592384934425,0.009831603616476059
14,0.32336779683828354,0.38649919731863613,0.5606123293338849,0.9550406840435802,0.005721086636185646,0.009509671479463577
15,0.3185596271459736,0.40858038129477664,0.5513722245207557,0.9402840987450007,0.007099289447069168,0.009572877548635006
16,0.3134909680307801,0.4064377607970402,0.5516480485450282,0.9427665149634533,0.00830885861068964,0.00975450687110424
