entry_idx,exit_idx,timestamp_entry,timestamp_exit,direction,regime_label,prob_long,prob_short,setup_score_long_regime,setup_score_short_regime,ev_long_regime,ev_short_regime,size,gross_ret,net_ret,outcome
127,130,2025-01-30 14:00:00,2025-01-30 17:00:00,long,trend_up,0.891094982624054,0.032002076506614685,2.8544982688175997,0.03406941360844694,0.00887467266160485,-0.007042764613640441,0.6,-0.007815645,-0.006009387,sl
367,374,2025-02-09 14:00:00,2025-02-09 21:00:00,long,range,0.9678784012794495,0.06799744814634323,1.9742763344418528,0.09348274920194967,0.005204067399521948,-0.006528689457344345,0.6,-0.0052152486,-0.00444914916,sl
418,420,2025-02-11 17:00:00,2025-02-11 19:00:00,short,range,0.8427928686141968,0.8735003471374512,1.2808247138310758,1.8384897522111758,0.005385973676813643,0.005912057406408873,0.6,0.010386024,0.0049116144,tp
487,488,2025-02-14 14:00:00,2025-02-14 15:00:00,long,range,0.8957884311676025,0.2015392780303955,2.0776547980350237,0.27900267697212816,0.005120138179426225,-0.005130201304989881,0.6,-0.0059058564,-0.00486351384,sl
736,744,2025-02-24 23:00:00,2025-02-25 07:00:00,short,trend_down,0.7872143387794495,0.8158323168754578,0.8578637404526306,2.176309259149818,0.007283471654757453,0.012709953619485573,0.6,0.018803965,0.009962378999999999,tp
773,775,2025-02-26 12:00:00,2025-02-26 14:00:00,short,trend_down,0.8937484622001648,0.904405415058136,0.8808457912067955,2.7827664637475005,0.008125698627006274,0.013338712610158694,0.6,0.016094072,0.0083364432,tp
779,791,2025-02-26 18:00:00,2025-02-27 06:00:00,short,trend_down,0.2034454047679901,0.5574839115142822,0.21325505838651493,1.6374129295949027,-0.009092679679147342,0.00690118553300159,0.5114622642775609,-0.019795282,-0.011249756735143479,sl
804,810,2025-02-27 19:00:00,2025-02-28 01:00:00,short,trend_down,0.6134636998176575,0.7107570767402649,0.6069839519872393,2.020753455659936,0.0037929333083370257,0.010037978305081284,0.6,0.0208233,0.01117398,tp
1037,1038,2025-03-09 12:00:00,2025-03-09 13:00:00,short,trend_down,0.6169344186782837,0.883141815662384,0.6988486112736566,2.713402008830852,0.0011432679294969138,0.007313567251992708,0.6,0.010408088,0.0049248528,tp
1283,1289,2025-03-19 18:00:00,2025-03-20 00:00:00,long,trend_up,0.6575614213943481,0.024778995662927628,1.557917924238629,0.025820263249065042,0.005921290388956732,-0.009445169262897724,0.6,0.0166199,0.00865194,tp
