fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,train_rows,test_rows,val_macro_ap_uncal,val_macro_ap_cal,final_capital,total_return,max_drawdown,sharpe_ratio,sortino_ratio,n_trades,avg_trade_cost,pct_time_in_market,avg_abs_position,mean_bar_return,std_bar_return
0,2020-08-13 13:00:00,2022-11-04 18:00:00,2022-11-04 19:00:00,2023-05-26 21:00:00,19499,4874,0.5774379570956697,0.5774368523153589,4610.193408814325,-0.5389806591185675,-0.5647783847444743,-6.762356688041899,-5.118132385007093,890,0.000904136998134379,0.31310171619924654,0.2703087720881201,-0.00015959766670144886,0.0022089226907647834
1,2021-03-04 22:00:00,2023-05-26 21:00:00,2023-05-26 22:00:00,2023-12-15 23:00:00,19499,4874,0.5589179265514984,0.5589179265514984,5006.1557450360215,-0.49938442549639783,-0.5088297347952793,-8.101508471806474,-5.940831744137484,650,0.0010269901550061366,0.2155713687735454,0.2029203003433807,-0.00014342837173299865,0.001656995125125568
2,2021-09-24 10:00:00,2023-12-15 23:00:00,2023-12-16 00:00:00,2024-07-06 01:00:00,19499,4874,0.5696050437845517,0.5696050437845517,5746.474224580871,-0.4253525775419129,-0.44790382614317875,-4.390824979099513,-3.2869066094867225,677,0.0010442321356466217,0.22791963164503976,0.22127914027583406,-0.00011303702080700347,0.002409498330037007
3,2022-04-15 14:00:00,2024-07-06 01:00:00,2024-07-06 02:00:00,2025-01-25 03:00:00,19499,4874,0.6095484247453379,0.6095484247453379,6724.045115213053,-0.3275954884786947,-0.34607499435886546,-2.5057041116485386,-1.9948135464595058,761,0.0009958054403641197,0.25826705734616995,0.2393415134179067,-7.873429179609451e-05,0.0029409401936950066
4,2022-11-04 16:00:00,2025-01-25 03:00:00,2025-01-25 04:00:00,2025-08-16 05:00:00,19499,4874,0.640398946560523,0.640398946560523,5787.165371645108,-0.4212834628354891,-0.4279922968376333,-4.965740372338737,-4.263602805306751,669,0.0010640125375299995,0.22624529091670154,0.22215599027911004,-0.00011223529822850465,0.0021154243969949272
5,2023-05-26 19:00:00,2025-08-16 05:00:00,2025-08-16 06:00:00,2026-03-07 07:00:00,19499,4874,0.568600715963325,0.568600715963325,4784.514454467715,-0.5215485545532286,-0.5286097701725839,-6.607398371443703,-4.886340532013161,630,0.001090956118008439,0.20719966513185434,0.20657980878790236,-0.00015196127211855446,0.002152556113740858
