fold,train_start_ts,train_end_ts,test_start_ts,test_end_ts,train_rows,test_rows,final_capital,total_return,max_drawdown,sharpe_ratio,sortino_ratio,n_trades,avg_trade_cost,long_trades,short_trades,flat_transitions,pct_time_in_market,pct_long,pct_short,mean_bar_return,std_bar_return
0,2020-08-13 06:00:00,2022-11-04 14:00:00,2022-11-04 15:00:00,2023-05-26 18:00:00,19502,4875,9793.909811884218,-0.020609018811578284,-0.1786708258101002,-0.09371031221434269,-0.051084365979914774,272,0.0010999999999999946,136,0,136,0.12866347952608606,0.12866347952608606,0.0,-2.1090424246049605e-06,0.0021064443216563433
1,2021-03-04 16:00:00,2023-05-26 18:00:00,2023-05-26 19:00:00,2023-12-15 21:00:00,19502,4875,7758.431176158811,-0.2241568823841189,-0.26868257877549756,-2.8786177904261714,-1.9330246330628138,312,0.001099999999999994,156,0,156,0.13302847640823115,0.13302847640823115,0.0,-5.136903572732244e-05,0.001670203776930125
2,2021-09-24 05:00:00,2023-12-15 21:00:00,2023-12-15 22:00:00,2024-07-06 00:00:00,19502,4875,11085.510969322413,0.10855109693224141,-0.05153073317947628,1.5622815335166,0.6242810776191832,144,0.0010999999999999988,72,0,72,0.04946996466431095,0.04946996466431095,0.0,2.231132492837587e-05,0.0013366512682320816
3,2022-04-15 10:00:00,2024-07-06 00:00:00,2024-07-06 01:00:00,2025-01-25 03:00:00,19502,4875,9998.847083992589,-0.00011529160074119638,-0.09997320551995964,0.10240494562196176,0.06442636873275322,338,0.0010999999999999936,169,0,169,0.17085844938682188,0.17085844938682188,0.0,2.4176963285812717e-06,0.002209697746514918
4,2022-11-04 13:00:00,2025-01-25 03:00:00,2025-01-25 04:00:00,2025-08-16 06:00:00,19502,4875,10894.320456051002,0.08943204560510032,-0.02716976870266134,1.814226778363925,0.5842217388271608,46,0.001099999999999999,23,0,23,0.01579713157347745,0.01579713157347745,0.0,1.8243217009248317e-05,0.0009411566265620963
5,2023-05-26 17:00:00,2025-08-16 06:00:00,2025-08-16 07:00:00,2026-03-07 09:00:00,19502,4875,10462.795058578324,0.04627950585783247,-0.05987139143093757,0.7722724759203584,0.45511655497816733,204,0.0010999999999999962,102,0,102,0.07503637497401787,0.07503637497401787,0.0,1.0158510532708897e-05,0.001231151593711097
