direction,regime_label,n_trades,total_net_ret,avg_trade_ret,win_rate
short,trend_down,19,0.0991737982688562,0.005219673593097694,0.7368421052631579
long,trend_down,13,0.0321475448999994,0.002472888069230723,0.6923076923076923
long,range,8,0.0234383401199999,0.0029297925149999876,0.625
long,trend_up,8,0.0138507797999998,0.001731347474999975,0.625
short,trend_up,2,-0.0025590618,-0.0012795309,0.5
short,range,5,-0.0028030800840001,-0.00056061601680002,0.4
