timestamp,score,pred_ret_1h,pred_ret_4h,p_long,p_short,prob_spread,regime,vol_ratio,bb_position,position,reason,bar_return,strategy_return,equity
2025-05-09 12:00:00,-0.008759899716824292,-0.009946512058377266,-0.005991137586534023,0.4628523290157318,0.5371477007865906,0.07429537177085876,0,0.7297147835095248,0.5693324448773857,0.0,stay_flat,0.007128377757859683,0.0,10000.0
2025-05-09 13:00:00,-0.004552676388993859,-0.0052462974563241005,-0.002934227231889963,0.39815977215766907,0.6018402576446533,0.20368048548698425,0,1.2737419354773498,0.8316301668567789,0.0,stay_flat,-0.004607679949051202,-0.0,10000.0
2025-05-09 14:00:00,-0.007686313102021813,-0.00907182227820158,-0.004453458357602358,0.4244225025177002,0.5755774974822998,0.1511549949645996,0,1.2772900131263405,0.6160237018816958,0.0,stay_flat,-0.002520454701661068,-0.0,10000.0
2025-05-09 15:00:00,-0.006909120362251997,-0.008815390057861805,-0.002461157739162445,0.47925177216529846,0.5207481980323792,0.04149642586708069,0,0.4741973850644408,0.4103675737054438,0.0,stay_flat,-0.004034753929672119,-0.0,10000.0
2025-05-09 16:00:00,-0.0058282740414142605,-0.008088406175374985,-0.0005546323955059052,0.5068978071212769,0.49310219287872314,0.013795614242553711,0,0.5921229401509903,0.0938814111340789,0.0,stay_flat,0.007017507567024905,0.0,10000.0
2025-05-09 17:00:00,-0.0013658956158906217,-0.004765717778354883,0.006567022763192654,0.40988293290138245,0.5901170969009399,0.1802341639995575,0,0.4936796307138368,0.6408033991604806,0.0,stay_flat,-0.00022800389806243437,-0.0,10000.0
2025-05-09 18:00:00,-0.002661504503339529,-0.006066085770726204,0.005282518453896046,0.4272509515285492,0.5727490782737732,0.145498126745224,0,0.297586117372108,0.6155693296983779,0.0,stay_flat,0.00012318701378188912,0.0,10000.0
2025-05-09 19:00:00,-0.0024723455309867853,-0.005894909612834454,0.005513637326657772,0.41231706738471985,0.5876829624176025,0.1753658950328827,0,0.2881237506056774,0.6291870470112136,0.0,stay_flat,-5.068361340632155e-05,-0.0,10000.0
2025-05-09 20:00:00,-0.008540894184261561,-0.015319788828492165,0.007276526652276516,0.44303712248802185,0.5569628477096558,0.11392572522163391,0,0.2730500630163763,0.6115296405639848,0.0,stay_flat,-0.0019281101303167958,-0.0,10000.0
2025-05-09 21:00:00,-0.0027037535794079298,-0.007869696244597435,0.00935011263936758,0.3963759243488312,0.6036240458488464,0.20724812150001526,1,0.2985360672304589,0.4596120650695759,0.0,stay_flat,-0.0019452349318089812,-0.0,10000.0
2025-05-09 22:00:00,-0.0045278603211045265,-0.009908477775752544,0.008026913739740849,0.4601503908634186,0.539849579334259,0.07969918847084045,1,0.2780569636308473,0.2872206709424936,0.0,stay_flat,0.0018225482285003647,0.0,10000.0
2025-05-09 23:00:00,3.611701540648946e-05,-0.004392816219478846,0.010370294563472271,0.40771085023880005,0.5922891497612,0.1845782995223999,1,0.2090988779054262,0.4088856819046353,0.0,stay_flat,-0.0010322224519503376,-0.0,10000.0
2025-05-10 00:00:00,-0.0032798410393297672,-0.004729802720248699,0.00010340288281440735,0.4730195701122284,0.5269804000854492,0.053960829973220825,1,0.510021341073839,0.3090661186819161,0.0,stay_flat,0.001184068158774032,0.0,10000.0
2025-05-10 01:00:00,-0.003012442588806152,-0.005234576761722565,0.00217253714799881,0.4663899540901184,0.5336100459098816,0.06722009181976318,1,0.3590013770909409,0.4204247412399696,0.0,stay_flat,0.0015580531617915838,0.0,10000.0
2025-05-10 02:00:00,-0.0005959191825240849,-0.0026336521841585636,0.004158791154623032,0.44674694538116455,0.5532530546188354,0.1065061092376709,0,0.3217056938295294,0.5720179930635009,0.0,stay_flat,0.0007589098223561574,0.0,10000.0
2025-05-10 03:00:00,-0.0007617350667715071,-0.002878032624721527,0.004176292568445206,0.4313736855983734,0.5686262845993042,0.1372525990009308,0,0.3991152365623995,0.6837255380536977,0.0,stay_flat,-0.0007145469989027209,-0.0,10000.0
2025-05-10 04:00:00,-0.003249411564320326,-0.0045990776270627975,-0.00010019075125455856,0.466715544462204,0.5332844257354736,0.06656888127326965,0,0.3456544994467045,0.5971672479931353,0.0,stay_flat,0.002021473453667877,0.0,10000.0
