prob_bucket,n_trades,total_net_ret,avg_trade_ret,win_rate,avg_size,avg_prob,avg_ev,avg_score
"(0.8, 1.0]",42,0.1109566626599986,0.002641825301428538,0.6666666666666666,0.6,0.8892297574451992,0.007741898150503259,1.90714302087523
"(0.7, 0.8]",8,0.0326229826799999,0.004077872834999987,0.625,0.6,0.7343559339642525,0.009545412287580912,1.9745318273145531
"(0.65, 0.7]",4,0.030918432600000097,0.007729608150000024,0.75,0.6,0.6748434901237488,0.009033393600205875,1.7585946209763883
"(-0.001, 0.55]",0,0.0,,,,,,
"(0.6, 0.65]",0,0.0,,,,,,
"(0.55, 0.6]",1,-0.0112497567351434,-0.0112497567351434,0.0,0.5114622642775609,0.5574839115142822,0.0069011855330015,1.6374129295949027
