direction,n_trades,total_net_ret,avg_trade_ret,win_rate,avg_size,avg_prob,avg_ev,avg_score
short,26,0.0938116563848561,0.003608140630186773,0.6538461538461539,0.5965947024722138,0.8136880604120401,0.009336688989075945,2.0839957339293482
long,29,0.0694366648199991,0.002394367752413762,0.6551724137931034,0.6,0.8732229512313316,0.0069587540289529175,1.7373849595383966
