epoch,train_loss,val_auc,val_ap
0,0.9095807174841563,0.5958770513855259,0.44563145228304346
1,0.8990850945313772,0.6356941081517353,0.48757103086851705
2,0.8747606774171194,0.6752085014796878,0.5433225263250292
3,0.8339449266592661,0.6803201506591336,0.5504871684399573
4,0.8098159531752268,0.67440139897767,0.5283723665232876
5,0.7756620645523071,0.685061877858488,0.5299580723177806
6,0.755141963561376,0.6989507667473769,0.5523689979053497
7,0.7346491118272146,0.7052730696798494,0.5638577302284469
8,0.7119588355223337,0.7063492063492064,0.5451353282255791
9,0.6821540097395579,0.7017756255044391,0.5257986484509296
10,0.6780186494191488,0.7050712940543449,0.5316359951162802
11,0.668040265639623,0.6965630885122409,0.5175106098359388
12,0.6753571530183157,0.7083333333333334,0.5251224724243715
13,0.6489434838294983,0.7021119182136131,0.5165963420216015
