timestamp,p_long,p_short,p_breakout,p_breakdown,regime,vol_ratio,bb_position,position,reason,bar_return,strategy_return,equity
2025-05-10 20:00:00,0.29822540283203125,0.2970566749572754,0.0039032730273902416,0.009983925148844719,0,0.3816608782917206,0.2950947119992044,0.0,stay_flat,0.005458487037401705,0.0,10000.0
2025-05-10 21:00:00,0.006950693670660257,0.9145592451095581,0.015828171744942665,0.000123267323942855,0,0.665331840077211,0.7990539199726846,0.0,stay_flat,-0.0015306961834083976,-0.0,10000.0
2025-05-10 22:00:00,0.033627357333898544,0.9064739942550659,0.002515138126909733,0.00010306240437785164,0,0.7807747002714531,0.6265175289351611,0.0,stay_flat,0.011695604997360443,0.0,10000.0
2025-05-10 23:00:00,4.45753539679572e-05,0.8636521100997925,0.029664261266589165,2.8770587960025296e-05,0,4.312855598711675,1.323026481498193,0.0,stay_flat,-0.003634688563148747,-0.0,10000.0
2025-05-11 00:00:00,0.0009990074904635549,0.5621292591094971,0.0012411440256983042,2.3006245100987144e-05,0,1.9764491161503743,0.9876435032613616,0.0,stay_flat,-0.002808235063619491,-0.0,10000.0
2025-05-11 01:00:00,0.7391288876533508,0.009329830296337605,0.0001704921160126105,0.0003802361898124218,0,0.95623506488544,0.7812356355516192,1.0,open_long,-0.0034019197329014927,-0.004501919732901493,9954.980802670985
2025-05-11 02:00:00,0.8683854937553406,0.007367129437625408,0.00014817717601545155,0.0005009813467040658,0,1.442455788124383,0.5793787207913152,1.0,cooldown,0.00217737224884762,0.00217737224884762,9976.656501608531
2025-05-11 03:00:00,0.7414543032646179,0.5922435522079468,0.0006159812328405678,0.00017906739958561957,0,0.7953122811016188,0.7019256124443073,1.0,cooldown,0.0014103854326001919,0.0014103854326001919,9990.727432604455
2025-05-11 04:00:00,0.1726914495229721,0.8587459325790405,0.0010302626760676503,8.958001853898168e-05,0,0.7129294048776957,0.763456194365927,0.0,close_long,-0.003012086366190325,-0.0010999999999999998,9979.73763242859
2025-05-11 05:00:00,0.7862406969070435,0.2202443778514862,0.0006392529467120767,0.0008633383549749851,0,0.5747711416129682,0.5848475436992167,0.0,cooldown,0.00023613251155629733,0.0,9979.73763242859
2025-05-11 06:00:00,0.7360959053039551,0.28703582286834717,0.0016779220895841718,0.0015685844700783491,1,1.2450093321553493,0.5907666856489572,0.0,cooldown,-0.004612258353478227,-0.0,9979.73763242859
2025-05-11 07:00:00,0.710096538066864,0.02354193851351738,0.00164138269610703,0.3343043327331543,1,1.4659165142334265,0.3250094549642934,0.0,stay_flat,0.004255143396842964,0.0,9979.73763242859
2025-05-11 08:00:00,0.5595345497131348,0.6649499535560608,0.0027714634779840708,0.0017169774509966373,0,0.7690165027459183,0.5662774594546992,0.0,stay_flat,0.0050329692958532846,0.0,9979.73763242859
2025-05-11 09:00:00,0.000712380453478545,0.9304530024528503,0.0021684893872588873,1.7384365492034703e-05,0,0.81387310976229,0.8212375037926622,0.0,stay_flat,0.002837238569347811,0.0,9979.73763242859
2025-05-11 10:00:00,0.0003858156269416213,0.8785701394081116,0.03591252863407135,7.007208478171378e-05,0,0.8680982145448503,0.9152850268691668,0.0,stay_flat,7.654523909628175e-05,0.0,9979.73763242859
