timestamp,candidate_long,candidate_short,prob_long,prob_short,setup_score_long,setup_score_short,ev_long_net,ev_short_net,ev_long_regime,ev_short_regime,regime_label,selected_long_regime,selected_short_regime
2025-01-25 07:00:00,0,0,0.9812594,0.28754085,1.3726790904893564,0.4022395243797135,0.006969727050194102,-0.003974112680352183,0.006969727050194102,-0.003974112680352183,range,0,0
2025-01-25 08:00:00,0,0,0.95757425,0.74069905,1.2896854247855776,0.9975923791230176,0.0061998903249865485,0.002932652173393166,0.0061998903249865485,0.002932652173393166,range,0,0
2025-01-25 09:00:00,0,0,0.98208237,0.42212918,1.3493956463455663,0.5800117202676284,0.0057864325786207765,-0.0018963777792835126,0.0057864325786207765,-0.0018963777792835126,range,0,0
2025-01-25 10:00:00,0,0,0.97024745,0.07168012,1.590776560845949,0.09494444805330078,0.005780461926573085,-0.006794749666753768,0.005780461926573085,-0.006794749666753768,range,0,0
2025-01-25 11:00:00,0,0,0.9531423,0.41943175,1.25851543494657,0.5538116757279226,0.005153164456284556,-0.0019416852266766664,0.005153164456284556,-0.0019416852266766664,range,0,0
2025-01-25 12:00:00,0,0,0.9498257,0.39436466,1.2717882029323961,0.5280424753103906,0.004835004672491934,-0.00227210408313952,0.004835004672491934,-0.00227210408313952,range,0,0
2025-01-25 13:00:00,0,0,0.9737519,0.37527576,1.2685573133257158,0.4888912768521571,0.0046876297805601526,-0.0024968033516636037,0.0046876297805601526,-0.0024968033516636037,range,0,0
2025-01-25 14:00:00,0,0,0.97574323,0.4230876,1.2737943288480704,0.5523241798278583,0.004344546349074662,-0.0019375603585196923,0.004344546349074662,-0.0019375603585196923,range,0,0
2025-01-25 15:00:00,0,0,0.8855037,0.47067142,1.1942360948871977,0.6347718107827394,0.003526694908704826,-0.0013664046502849607,0.003526694908704826,-0.0013664046502849607,range,0,0
2025-01-25 16:00:00,0,0,0.9423291,0.67865175,1.2262728127713836,0.8831438854808399,0.004181521436489908,0.0010788616504717559,0.004181521436489908,0.0010788616504717559,range,0,0
2025-01-25 17:00:00,0,0,0.7436012,0.05067572,1.0445244434815317,0.07118335472745103,0.0019308340354344247,-0.006399637730108671,0.0019308340354344247,-0.006399637730108671,range,0,0
2025-01-25 18:00:00,0,0,0.4822741,0.6934791,0.689790324562431,0.9918741279361345,-0.0012044987458106277,0.0013510437350018455,-0.0012044987458106277,0.0013510437350018455,range,0,0
2025-01-25 19:00:00,0,0,0.8609304,0.60108286,1.5321079485081743,0.8593054325325397,0.0031188632515185537,0.00012037696169613175,0.0031188632515185537,0.00012037696169613175,range,0,0
2025-01-25 20:00:00,0,0,0.9668051,0.58086634,1.3703017575312357,1.0265944498803057,0.003979425325063649,-0.0002281581422909425,0.003979425325063649,-0.0002281581422909425,range,0,0
2025-01-25 21:00:00,0,0,0.82118666,0.7386079,1.4612079550293329,1.0557556833504547,0.0021861243881212454,0.0013261712456870108,0.0026233493699880286,0.000994628434265258,trend_up,0,0
2025-01-25 22:00:00,0,0,0.67173034,0.727569,0.9427354883223719,1.0211018634831404,0.0005069341396493213,0.0010631897767052973,0.000608320991751689,0.000797392332528973,trend_up,0,0
2025-01-25 23:00:00,0,0,0.98609424,0.77085334,1.2946832386644493,1.2818833795471005,0.003858392848240134,0.0016334709457196312,0.004630071601870669,0.0012251032092897235,trend_up,0,0
2025-01-26 00:00:00,0,0,0.9901016,0.93381995,1.3120728672108022,1.5643259922338857,0.0038304866675744837,0.0032553219663336054,0.0038304866675744837,0.0032553219663336054,range,0,0
