score_bucket,n_trades,total_net_ret,avg_trade_ret,win_rate,avg_size,avg_prob,avg_ev,avg_score
"(2.0, 3.0]",21,0.1319656404839993,0.006284078118285681,0.8571428571428571,0.6,0.8338870434533983,0.009835647263338685,2.362694710788456
"(1.0, 1.5]",12,0.0259768316999996,0.0021647359749999667,0.6666666666666666,0.6,0.8774851411581039,0.006380608684599683,1.3167820470030926
"(1.5, 2.0]",22,0.005305849020856302,0.0002411749554934683,0.45454545454545453,0.5959755574671619,0.8380866159092296,0.007338267445922755,1.7795490644628118
"(-1.001, 0.5]",0,0.0,,,,,,
"(0.5, 1.0]",0,0.0,,,,,,
"(3.0, 10.0]",0,0.0,,,,,,
