outcome,n_trades,total_net_ret,avg_trade_ret,win_rate,avg_size,avg_prob,avg_ev,avg_score
tp,34,0.2620898951999986,0.007708526329411723,1.0,0.6,0.8553146895240334,0.00886986364832818,1.9418448342031436
expiry,7,-0.0084363777600001,-0.0012051968228571572,0.2857142857142857,0.6,0.8075524057660785,0.0075611178517965855,1.975043392752856
sl,14,-0.0904051962351433,-0.00645751401679595,0.0,0.5936758760198257,0.8389849194458553,0.006432470824991071,1.7657160568999768
