timestamp,close,p_long,p_short,p_breakout,p_breakdown,regime,vol_ratio,bb_position,pos_prev,pos_new,cost,reason
2025-05-11 01:00:00,104135.32,0.7391288876533508,0.009329830296337605,0.0001704921160126105,0.0003802361898124218,0,0.95623506488544,0.7812356355516192,0.0,1.0,0.0010999999999999998,open_long
2025-05-11 04:00:00,104153.72,0.1726914495229721,0.8587459325790405,0.0010302626760676503,8.958001853898168e-05,0,0.7129294048776957,0.763456194365927,1.0,0.0,0.0010999999999999998,close_long
2025-05-11 12:00:00,104601.9,0.6239098906517029,0.522472620010376,0.0026175091043114662,0.0010441626654937863,0,1.17362888323055,0.8147841877542713,0.0,0.38258708715438844,0.0004208457958698273,open_long
2025-05-11 15:00:00,104150.0,0.7342638373374939,0.02592654712498188,0.00041543811676092446,0.0007902454817667603,0,1.1040251449506793,0.5493789754531136,0.38258708715438844,1.0,0.0006791542041301728,resize_long
2025-05-11 18:00:00,104528.19,0.011190423741936684,0.9023470282554626,0.004231087397783995,6.119851605035365e-05,0,0.8046287479888532,0.7508936018784172,1.0,0.0,0.0010999999999999998,close_long
2025-05-11 22:00:00,103793.67,0.7775108218193054,0.02753165178000927,0.00105335155967623,0.06355559825897217,0,1.0441264540180772,0.2330905301183182,0.0,1.0,0.0010999999999999998,open_long
2025-05-12 01:00:00,103984.14,0.5532891750335693,0.0006612117285840213,0.00020806850807275623,0.0031487769447267056,1,2.374797435769082,0.3532190681604292,1.0,0.0,0.0010999999999999998,close_long
2025-05-12 09:00:00,104459.34,0.6923348307609558,0.02353004552423954,0.0002346599067095667,0.0003630907740443945,0,0.9065474735348928,0.7467685619679459,0.0,1.0,0.0010999999999999998,open_long
2025-05-12 12:00:00,103881.15,0.6413747072219849,0.009532255120575428,0.001967188436537981,0.2522203028202057,1,1.5315936523283369,0.2094890726532501,1.0,0.0,0.0010999999999999998,close_long
2025-05-13 04:00:00,102745.71,0.0001024453085847199,0.783318817615509,0.022525383159518242,1.051685740094399e-05,1,0.956187197622931,0.4673811528859204,0.0,-1.0,0.0010999999999999998,open_short
2025-05-13 07:00:00,102665.5,0.4837827980518341,0.5638394951820374,0.005281544290482998,0.002016710350289941,1,0.4775657818726187,0.5228543898954137,-1.0,0.0,0.0010999999999999998,close_short
2025-05-13 10:00:00,103557.72,0.013362891040742397,0.8037773370742798,0.43137526512145996,0.0003517885343171656,1,0.8394044758526724,1.0182335464642889,0.0,-1.0,0.0010999999999999998,open_short
2025-05-13 13:00:00,103715.87,0.3731768727302551,0.43508926033973694,0.026056233793497086,0.000873328186571598,1,0.9277958112851712,0.8897798525145719,-1.0,0.0,0.0010999999999999998,close_short
2025-05-13 20:00:00,104562.39,0.7151365876197815,0.6377077102661133,0.00026501313550397754,5.950940612819977e-05,0,0.6318323496401682,0.8678500048952511,0.0,0.3393719792366028,0.0003733091771602631,open_long
2025-05-13 23:00:00,104103.72,0.35992753505706787,0.18463754653930664,0.0004498173075262457,6.469521758845076e-05,0,0.6211292812504835,0.6707514789804815,0.3393719792366028,0.0,0.0003733091771602631,close_long
