epoch,train_loss,val_auc,val_ap
0,0.9114782015482584,0.5312287076992959,0.36124448794335967
1,0.8891536792119344,0.5544704368233779,0.3800727772252289
2,0.8819239934285482,0.573926868044515,0.40021201351289315
3,0.8637526134649912,0.600196835490953,0.42964657086630015
4,0.8300905724366506,0.6055341055341055,0.43448639352702345
5,0.80037588874499,0.620296767355591,0.4742662563782317
6,0.7674806714057922,0.6367628132334016,0.47839020665763154
7,0.7511467238267263,0.643879173290938,0.4858654395646596
8,0.7311553458372752,0.6411916117798471,0.4979420693665876
9,0.7103608846664429,0.6422136422136422,0.4963740053316881
10,0.718132754166921,0.6480808539632069,0.4949518689423371
11,0.7239312728246053,0.6573926868044516,0.5231167444903388
12,0.6929780542850494,0.656938451056098,0.5151560819990996
13,0.6663536429405212,0.6581118934060111,0.5238901053518126
14,0.6537137925624847,0.6502006207888562,0.516782663730595
15,0.6531738440195719,0.6564842153077447,0.5139775689943962
16,0.6442391276359558,0.64580967522144,0.5084441664925745
17,0.6116749197244644,0.6467938526762057,0.5056764298637272
18,0.6169025401274363,0.6455447043682339,0.5055218446504621
19,0.6026377975940704,0.6421757892346127,0.4904065433717216
