seq_len,initial_capital,fee_rate,slippage_bps,threshold_long,threshold_short,cooldown_bars,min_hold_bars,max_position,use_short,min_direction_confidence,min_edge_over_cost,allowed_regimes_long,allowed_regimes_short,final_capital,total_return,max_drawdown,sharpe_ratio,n_trades,avg_trade_cost,long_trades,short_trades,flat_transitions,pct_time_in_market,pct_long,pct_short,mean_bar_return,std_bar_return,ranking_score
64,10000.0,0.0006,5.0,0.004,-0.004,3,2,1.0,False,0.54,0.0008,"[0, 2]",[1],10718.706616098447,0.07187066160984479,-0.020389084417271122,1.797393616838901,46,0.001099999999999999,23,0,23,0.010482758620689656,0.010482758620689656,0.0,9.699741421028164e-06,0.0005050902845523908,0.8735306244144427
64,10000.0,0.0006,5.0,0.004,-0.004,3,2,1.0,False,0.54,0.001,"[0, 2]",[1],10718.706616098447,0.07187066160984479,-0.020389084417271122,1.797393616838901,46,0.001099999999999999,23,0,23,0.010482758620689656,0.010482758620689656,0.0,9.699741421028164e-06,0.0005050902845523908,0.8735306244144427
64,10000.0,0.0006,5.0,0.004,-0.004,3,2,1.0,False,0.54,0.0012,"[0, 2]",[1],10718.706616098447,0.07187066160984479,-0.020389084417271122,1.797393616838901,46,0.001099999999999999,23,0,23,0.010482758620689656,0.010482758620689656,0.0,9.699741421028164e-06,0.0005050902845523908,0.8735306244144427
64,10000.0,0.0006,5.0,0.003,-0.004,6,2,1.0,False,0.54,0.0008,"[0, 2]",[1],10705.57717335214,0.07055771733521388,-0.04549995441933675,1.1257066348255997,56,0.0010999999999999985,28,0,28,0.02413793103448276,0.02413793103448276,0.0,9.729979997064269e-06,0.0008089818438051657,0.683526560579768
64,10000.0,0.0006,5.0,0.003,-0.004,6,2,1.0,False,0.54,0.001,"[0, 2]",[1],10705.57717335214,0.07055771733521388,-0.04549995441933675,1.1257066348255997,56,0.0010999999999999985,28,0,28,0.02413793103448276,0.02413793103448276,0.0,9.729979997064269e-06,0.0008089818438051657,0.683526560579768
64,10000.0,0.0006,5.0,0.003,-0.004,6,2,1.0,False,0.54,0.0012,"[0, 2]",[1],10705.57717335214,0.07055771733521388,-0.04549995441933675,1.1257066348255997,56,0.0010999999999999985,28,0,28,0.02413793103448276,0.02413793103448276,0.0,9.729979997064269e-06,0.0008089818438051657,0.683526560579768
64,10000.0,0.0006,5.0,0.003,-0.004,6,4,1.0,False,0.54,0.0008,"[0, 2]",[1],10705.57717335214,0.07055771733521388,-0.04549995441933675,1.1257066348255997,56,0.0010999999999999985,28,0,28,0.02413793103448276,0.02413793103448276,0.0,9.729979997064269e-06,0.0008089818438051657,0.683526560579768
64,10000.0,0.0006,5.0,0.003,-0.004,6,4,1.0,False,0.54,0.001,"[0, 2]",[1],10705.57717335214,0.07055771733521388,-0.04549995441933675,1.1257066348255997,56,0.0010999999999999985,28,0,28,0.02413793103448276,0.02413793103448276,0.0,9.729979997064269e-06,0.0008089818438051657,0.683526560579768
64,10000.0,0.0006,5.0,0.003,-0.004,6,4,1.0,False,0.54,0.0012,"[0, 2]",[1],10705.57717335214,0.07055771733521388,-0.04549995441933675,1.1257066348255997,56,0.0010999999999999985,28,0,28,0.02413793103448276,0.02413793103448276,0.0,9.729979997064269e-06,0.0008089818438051657,0.683526560579768
64,10000.0,0.0006,5.0,0.003,-0.004,6,6,1.0,False,0.54,0.0008,"[0, 2]",[1],10705.57717335214,0.07055771733521388,-0.04549995441933675,1.1257066348255997,56,0.0010999999999999985,28,0,28,0.02413793103448276,0.02413793103448276,0.0,9.729979997064269e-06,0.0008089818438051657,0.683526560579768
64,10000.0,0.0006,5.0,0.003,-0.004,6,6,1.0,False,0.54,0.001,"[0, 2]",[1],10705.57717335214,0.07055771733521388,-0.04549995441933675,1.1257066348255997,56,0.0010999999999999985,28,0,28,0.02413793103448276,0.02413793103448276,0.0,9.729979997064269e-06,0.0008089818438051657,0.683526560579768
64,10000.0,0.0006,5.0,0.003,-0.004,6,6,1.0,False,0.54,0.0012,"[0, 2]",[1],10705.57717335214,0.07055771733521388,-0.04549995441933675,1.1257066348255997,56,0.0010999999999999985,28,0,28,0.02413793103448276,0.02413793103448276,0.0,9.729979997064269e-06,0.0008089818438051657,0.683526560579768
64,10000.0,0.0006,5.0,0.0025,-0.004,6,2,1.0,False,0.54,0.0008,"[0, 2]",[1],10674.111093910076,0.0674111093910077,-0.04932407698640574,1.060612114438027,60,0.001099999999999999,30,0,30,0.025793103448275862,0.025793103448275862,0.0,9.336144414511945e-06,0.0008238782362824568,0.6338912314192251
64,10000.0,0.0006,5.0,0.0025,-0.004,6,2,1.0,False,0.54,0.001,"[0, 2]",[1],10674.111093910076,0.0674111093910077,-0.04932407698640574,1.060612114438027,60,0.001099999999999999,30,0,30,0.025793103448275862,0.025793103448275862,0.0,9.336144414511945e-06,0.0008238782362824568,0.6338912314192251
